chr1_2500000	chr4_154500000
chr12_44500000	chr15_94500000
chr12_45500000	chr15_95500000
chr12_48500000	chr15_97500000
chr12_49500000	chr15_98500000
chr12_50500000	chr15_99500000
chr12_54500000	chr15_102500000
chr12_59500000	chr10_125500000
chr12_60500000	chr10_124500000
chr12_62500000	chr10_122500000
chr12_65500000	chr10_120500000
chr12_66500000	chr10_119500000
chr12_67500000	chr10_118500000
chr12_69500000	chr10_116500000
chr12_71500000	chr10_115500000
chr12_72500000	chr10_114500000
chr12_73500000	chr10_113500000
chr12_76500000	chr10_110500000
chr12_79500000	chr10_108500000
chr12_80500000	chr10_107500000
chr12_81500000	chr10_106500000
chr12_83500000	chr10_104500000
chr12_85500000	chr10_102500000
chr12_94500000	chr10_94500000
chr12_95500000	chr10_93500000
chr12_96500000	chr10_92500000
chr12_97500000	chr10_91500000
chr12_101500000	chr10_88500000
chr12_102500000	chr10_87500000
chr12_103500000	chr10_86500000
chr12_104500000	chr10_82500000
chr12_107500000	chr10_84500000
chr12_109500000	chr5_114500000
chr12_111500000	chr5_122500000
chr12_112500000	chr5_121500000
chr12_114500000	chr5_120500000
chr12_116500000	chr5_119500000
chr12_117500000	chr5_118500000
chr12_118500000	chr5_117500000
chr12_120500000	chr5_116500000
chr12_122500000	chr5_123500000
chr12_123500000	chr5_124500000
chr12_129500000	chr5_128500000
chr13_20500000	chr14_57500000
chr13_22500000	chr14_58500000
chr13_28500000	chr5_148500000
chr13_31500000	chr5_150500000
chr13_33500000	chr5_151500000
chr13_36500000	chr3_55500000
chr13_40500000	chr3_52500000
chr13_41500000	chr14_79500000
chr13_44500000	chr14_77500000
chr13_45500000	chr14_76500000
chr13_46500000	chr14_75500000
chr13_50500000	chr14_62500000
chr13_53500000	chr14_80500000
chr13_54500000	chr14_81500000
chr13_59500000	chr14_86500000
chr13_60500000	chr14_87500000
chr13_71500000	chr14_97500000
chr13_72500000	chr14_98500000
chr13_73500000	chr14_99500000
chr13_74500000	chr14_100500000
chr13_75500000	chr14_101500000
chr13_77500000	chr14_103500000
chr13_79500000	chr14_105500000
chr13_84500000	chr14_109500000
chr13_94500000	chr14_117500000
chr13_95500000	chr14_118500000
chr13_96500000	chr14_119500000
chr13_97500000	chr14_120500000
chr13_100500000	chr14_122500000
chr13_101500000	chr14_123500000
chr13_107500000	chr8_8500000
chr13_111500000	chr8_11500000
chr13_112500000	chr8_12500000
chr14_21500000	chr14_52500000
chr14_23500000	chr14_55500000
chr14_24500000	chr14_56500000
chr14_26500000	chr12_47500000
chr14_32500000	chr12_53500000
chr14_33500000	chr12_54500000
chr14_34500000	chr12_55500000
chr14_36500000	chr12_57500000
chr14_37500000	chr12_58500000
chr14_45500000	chr12_66500000
chr14_49500000	chr12_69500000
chr14_50500000	chr12_70500000
chr14_51500000	chr12_71500000
chr14_54500000	chr14_47500000
chr14_56500000	chr14_48500000
chr14_57500000	chr14_49500000
chr14_59500000	chr12_72500000
chr14_60500000	chr12_73500000
chr14_61500000	chr12_74500000
chr14_62500000	chr12_75500000
chr14_63500000	chr12_76500000
chr14_68500000	chr12_80500000
chr14_69500000	chr12_81500000
chr14_70500000	chr12_82500000
chr14_73500000	chr12_84500000
chr14_74500000	chr12_85500000
chr14_75500000	chr12_86500000
chr14_76500000	chr12_87500000
chr14_77500000	chr12_88500000
chr14_79500000	chr12_90500000
chr14_80500000	chr12_91500000
chr14_82500000	chr12_93500000
chr14_87500000	chr12_98500000
chr14_88500000	chr12_99500000
chr14_89500000	chr12_100500000
chr14_90500000	chr12_101500000
chr14_92500000	chr12_103500000
chr14_94500000	chr12_104500000
chr14_95500000	chr12_105500000
chr14_96500000	chr12_106500000
chr14_97500000	chr12_107500000
chr14_98500000	chr12_108500000
chr14_99500000	chr12_109500000
chr14_101500000	chr12_110500000
chr14_102500000	chr12_111500000
chr14_103500000	chr12_112500000
chr14_104500000	chr12_113500000
chr15_33500000	chr2_113500000
chr15_35500000	chr2_114500000
chr15_37500000	chr2_115500000
chr15_38500000	chr2_116500000
chr15_39500000	chr2_117500000
chr15_40500000	chr2_118500000
chr15_41500000	chr2_119500000
chr15_45500000	chr2_122500000
chr15_48500000	chr2_124500000
chr15_50500000	chr2_126500000
chr15_52500000	chr9_75500000
chr15_53500000	chr9_74500000
chr15_56500000	chr9_72500000
chr15_57500000	chr9_71500000
chr15_59500000	chr9_70500000
chr15_60500000	chr9_69500000
chr15_61500000	chr9_68500000
chr15_62500000	chr9_67500000
chr15_63500000	chr9_66500000
chr15_64500000	chr9_65500000
chr15_66500000	chr9_64500000
chr15_67500000	chr9_63500000
chr15_68500000	chr9_62500000
chr15_70500000	chr9_61500000
chr15_71500000	chr9_60500000
chr15_72500000	chr9_59500000
chr15_73500000	chr9_58500000
chr15_74500000	chr9_57500000
chr15_76500000	chr9_55500000
chr15_77500000	chr9_56500000
chr15_78500000	chr9_54500000
chr15_79500000	chr9_89500000
chr15_84500000	chr7_89500000
chr15_85500000	chr7_88500000
chr15_87500000	chr7_84500000
chr15_88500000	chr7_85500000
chr15_89500000	chr7_86500000
chr15_91500000	chr7_87500000
chr15_92500000	chr7_81500000
chr15_93500000	chr7_80500000
chr15_95500000	chr7_78500000
chr15_96500000	chr7_77500000
chr15_98500000	chr7_75500000
chr15_100500000	chr7_74500000
chr15_101500000	chr7_73500000
chr16_500000	chr17_26500000
chr16_1500000	chr17_25500000
chr16_2500000	chr17_24500000
chr16_4500000	chr16_4500000
chr16_5500000	chr16_5500000
chr16_6500000	chr16_6500000
chr16_7500000	chr16_7500000
chr16_8500000	chr16_8500000
chr16_9500000	chr16_9500000
chr16_13500000	chr16_12500000
chr16_17500000	chr7_124500000
chr16_19500000	chr7_125500000
chr16_20500000	chr7_126500000
chr16_22500000	chr7_128500000
chr16_23500000	chr7_129500000
chr16_26500000	chr7_131500000
chr16_28500000	chr7_133500000
chr16_30500000	chr7_134500000
chr16_48500000	chr8_89500000
chr16_49500000	chr8_90500000
chr16_51500000	chr8_91500000
chr16_52500000	chr8_92500000
chr16_53500000	chr8_93500000
chr16_54500000	chr8_94500000
chr16_55500000	chr8_95500000
chr16_56500000	chr8_96500000
chr16_57500000	chr8_97500000
chr16_58500000	chr8_98500000
chr16_59500000	chr8_99500000
chr16_60500000	chr8_100500000
chr16_61500000	chr8_101500000
chr16_62500000	chr8_102500000
chr16_63500000	chr8_103500000
chr16_64500000	chr8_104500000
chr16_65500000	chr8_105500000
chr16_66500000	chr8_106500000
chr16_67500000	chr8_108500000
chr16_69500000	chr8_109500000
chr16_71500000	chr8_112500000
chr16_72500000	chr8_111500000
chr16_73500000	chr8_110500000
chr16_75500000	chr8_114500000
chr16_76500000	chr8_115500000
chr16_77500000	chr8_116500000
chr16_78500000	chr8_117500000
chr16_79500000	chr8_118500000
chr16_81500000	chr8_119500000
chr16_82500000	chr8_120500000
chr16_83500000	chr8_121500000
chr16_86500000	chr8_123500000
chr16_88500000	chr8_124500000
chr16_89500000	chr8_125500000
chr17_1500000	chr11_75500000
chr17_2500000	chr11_74500000
chr17_7500000	chr11_69500000
chr17_8500000	chr11_68500000
chr17_12500000	chr11_65500000
chr17_13500000	chr11_64500000
chr17_14500000	chr11_63500000
chr17_15500000	chr11_62500000
chr17_17500000	chr11_59500000
chr17_19500000	chr11_61500000
chr17_26500000	chr11_78500000
chr17_27500000	chr11_77500000
chr17_29500000	chr11_79500000
chr17_30500000	chr11_80500000
chr17_32500000	chr11_81500000
chr17_33500000	chr11_82500000
chr17_34500000	chr11_83500000
chr17_35500000	chr11_84500000
chr17_36500000	chr11_97500000
chr17_38500000	chr11_98500000
chr17_39500000	chr11_99500000
chr17_40500000	chr11_100500000
chr17_41500000	chr11_101500000
chr17_42500000	chr11_102500000
chr17_46500000	chr11_96500000
chr17_47500000	chr11_95500000
chr17_48500000	chr11_94500000
chr17_49500000	chr11_93500000
chr17_50500000	chr11_92500000
chr17_53500000	chr11_90500000
chr17_54500000	chr11_89500000
chr17_55500000	chr11_88500000
chr17_56500000	chr11_87500000
chr17_57500000	chr11_86500000
chr17_59500000	chr11_85500000
chr17_61500000	chr11_105500000
chr17_62500000	chr11_106500000
chr17_63500000	chr11_108500000
chr17_65500000	chr11_107500000
chr17_67500000	chr11_110500000
chr17_68500000	chr11_111500000
chr17_70500000	chr11_112500000
chr17_71500000	chr11_113500000
chr17_73500000	chr11_115500000
chr17_74500000	chr11_116500000
chr17_76500000	chr11_117500000
chr17_77500000	chr11_118500000
chr17_78500000	chr11_119500000
chr17_79500000	chr11_120500000
chr18_3500000	chr17_71500000
chr18_5500000	chr17_69500000
chr18_8500000	chr17_67500000
chr18_9500000	chr17_66500000
chr18_10500000	chr18_63500000
chr18_19500000	chr18_10500000
chr18_21500000	chr18_12500000
chr18_22500000	chr18_13500000
chr18_23500000	chr18_14500000
chr18_24500000	chr18_15500000
chr18_25500000	chr18_16500000
chr18_30500000	chr18_21500000
chr18_31500000	chr18_22500000
chr18_33500000	chr18_24500000
chr18_34500000	chr18_25500000
chr18_35500000	chr18_26500000
chr18_36500000	chr18_27500000
chr18_37500000	chr18_28500000
chr18_38500000	chr18_29500000
chr18_39500000	chr18_30500000
chr18_42500000	chr18_79500000
chr18_44500000	chr18_77500000
chr18_45500000	chr18_76500000
chr18_46500000	chr18_75500000
chr18_50500000	chr18_71500000
chr18_53500000	chr18_69500000
chr18_55500000	chr18_64500000
chr18_56500000	chr18_65500000
chr18_60500000	chr1_108500000
chr18_72500000	chr18_84500000
chr18_73500000	chr18_83500000
chr18_76500000	chr18_81500000
chr18_77500000	chr18_80500000
chr19_1500000	chr10_79500000
chr19_11500000	chr9_21500000
chr19_13500000	chr8_87500000
chr19_14500000	chr8_86500000
chr19_15500000	chr17_32500000
chr19_30500000	chr7_38500000
chr19_31500000	chr7_37500000
chr19_32500000	chr7_36500000
chr19_34500000	chr7_35500000
chr19_36500000	chr7_31500000
chr19_39500000	chr7_29500000
chr19_40500000	chr7_28500000
chr19_45500000	chr7_20500000
chr19_46500000	chr7_19500000
chr19_47500000	chr7_17500000
chr19_49500000	chr7_52500000
chr19_51500000	chr7_51500000
chr19_55500000	chr7_4500000
chr20_3500000	chr2_130500000
chr20_5500000	chr2_132500000
chr20_6500000	chr2_133500000
chr20_9500000	chr2_135500000
chr20_10500000	chr2_136500000
chr20_11500000	chr2_137500000
chr20_13500000	chr2_139500000
chr20_14500000	chr2_140500000
chr20_15500000	chr2_141500000
chr20_17500000	chr2_143500000
chr20_18500000	chr2_144500000
chr20_20500000	chr2_146500000
chr20_22500000	chr2_147500000
chr20_30500000	chr2_152500000
chr20_31500000	chr2_153500000
chr20_32500000	chr2_154500000
chr20_33500000	chr2_155500000
chr20_35500000	chr2_156500000
chr20_36500000	chr2_157500000
chr20_37500000	chr2_158500000
chr20_38500000	chr2_159500000
chr20_39500000	chr2_160500000
chr20_40500000	chr2_161500000
chr20_41500000	chr2_162500000
chr20_44500000	chr2_164500000
chr20_45500000	chr2_165500000
chr20_47500000	chr2_166500000
chr20_48500000	chr2_167500000
chr20_50500000	chr2_168500000
chr20_51500000	chr2_169500000
chr20_53500000	chr2_170500000
chr20_54500000	chr2_171500000
chr20_55500000	chr2_172500000
chr20_56500000	chr2_173500000
chr20_60500000	chr2_179500000
chr20_61500000	chr2_180500000
chr21_16500000	chr16_76500000
chr21_17500000	chr16_77500000
chr21_30500000	chr16_87500000
chr21_31500000	chr16_88500000
chr21_32500000	chr16_89500000
chr21_33500000	chr16_90500000
chr21_34500000	chr16_91500000
chr21_36500000	chr16_92500000
chr21_37500000	chr16_93500000
chr21_38500000	chr16_94500000
chr21_39500000	chr16_95500000
chr21_44500000	chr17_31500000
chr21_47500000	chr10_76500000
chr22_18500000	chr6_120500000
chr22_19500000	chr16_18500000
chr22_24500000	chr10_75500000
chr22_27500000	chr5_112500000
chr22_28500000	chr5_111500000
chr22_29500000	chr11_5500000
chr22_30500000	chr11_4500000
chr22_31500000	chr11_3500000
chr22_36500000	chr15_77500000
chr22_37500000	chr15_78500000
chr22_38500000	chr15_79500000
chr22_40500000	chr15_80500000
chr22_41500000	chr15_81500000
chr22_42500000	chr15_82500000
chr22_43500000	chr15_83500000
chr22_45500000	chr15_84500000
chr22_46500000	chr15_85500000
chr22_47500000	chr15_86500000
chr22_48500000	chr15_87500000
chr22_50500000	chr15_88500000
chrX_11500000	chrX_165500000
chrX_12500000	chrX_164500000
chrX_15500000	chrX_160500000
chrX_16500000	chrX_159500000
chrX_17500000	chrX_158500000
chrX_18500000	chrX_157500000
chrX_19500000	chrX_156500000
chrX_20500000	chrX_155500000
chrX_21500000	chrX_154500000
chrX_22500000	chrX_153500000
chrX_24500000	chrX_90500000
chrX_28500000	chrX_85500000
chrX_29500000	chrX_84500000
chrX_30500000	chrX_83500000
chrX_31500000	chrX_82500000
chrX_38500000	chrX_10500000
chrX_39500000	chrX_11500000
chrX_41500000	chrX_13500000
chrX_47500000	chrX_20500000
chrX_48500000	chrX_7500000
chrX_50500000	chrX_6500000
chrX_53500000	chrX_148500000
chrX_54500000	chrX_147500000
chrX_68500000	chrX_96500000
chrX_69500000	chrX_97500000
chrX_70500000	chrX_98500000
chrX_71500000	chrX_99500000
chrX_76500000	chrX_102500000
chrX_78500000	chrX_104500000
chrX_96500000	chrX_126500000
chrX_97500000	chrX_127500000
chrX_99500000	chrX_130500000
chrX_103500000	chrX_133500000
chrX_104500000	chrX_134500000
chrX_105500000	chrX_135500000
chrX_106500000	chrX_136500000
chrX_107500000	chrX_137500000
chrX_108500000	chrX_138500000
chrX_109500000	chrX_139500000
chrX_110500000	chrX_140500000
chrX_118500000	chrX_34500000
chrX_119500000	chrX_35500000
chrX_122500000	chrX_38500000
chrX_123500000	chrX_39500000
chrX_128500000	chrX_45500000
chrX_131500000	chrX_48500000
chrX_132500000	chrX_49500000
chrX_133500000	chrX_50500000
chrX_135500000	chrX_54500000
chrX_136500000	chrX_55500000
chrX_139500000	chrX_58500000
chrX_147500000	chrX_66500000
chrX_148500000	chrX_67500000
chrX_149500000	chrX_68500000
chrX_152500000	chrX_70500000
chrX_153500000	chrX_71500000
